286	555	17	168.03
246	4396	6	78.29
850	104	6	16.22
66	248	6	29.07
144	253	4	13.5
168	169	9	39.96
104	1520	3	8.01
103	288	12	6.46
1894	3205	3	44.75
226	186	4	15.43
2140	101	4	6.57
6337	6313	5	120.16
589	171	5	30.42
112	6110	5	56.05
715	105	17	85.27
163	201	6	24.83
3048	101	3	5.89
589	103	9	10.32
389	147	10	62.64
4166	101	3	8.43
7705	101	3	14.14
6547	122	3	29.49
703	1216	4	42.39
316	101	21	18.38
101	744	18	40.12
449	629	11	111.86
153	316	3	10.69
532	1720	4	43.3
492	464	5	40.13
596	2899	9	132.69
115	327	12	56.82
2538	383	3	31.57
105	917	3	6.42
101	2383	3	4.01
344	284	4	22.98
689	280	6	48.38
104	203	27	71.01
1147	190	4	30.16
4096	998	4	59.83
831	2220	3	35.55
113	1028	4	19.26
101	2129	5	10.32
147	365	3	11.24
276	10714	3	44.41
4265	102	5	23.76
2092	1660	18	348.98
276	116	3	5.54
554	104	4	4.73
581	112	4	13.17
101	863	8	8.44
2200	122	4	29.28
211	302	8	49.57
198	107	40	178.33
198	168	4	13.51
3061	871	3	38.61
942	236	3	20.84
116	229	3	4.49
4113	305	8	120.51
549	3955	6	86.46
101	1835	4	5.54
148	154	3	5.7
136	427	6	30.26
155	699	6	39.67
107	119	11	4.31
5446	156	6	80.54
2895	101	13	80.39
368	69	3	8.32
350	817	4	32.7
480	257	4	24.88
1379	330	5	48.68
10041	672	3	50.13
168	421	3	13.14
117	529	3	9.37
117	453	17	106.59
108	1640	3	14
110	102	86	39.49
1185	661	4	41.46
878	622	4	37.92
103	944	6	8.27
1682	101	4	4.7
376	3318	4	47.53
3800	101	3	7.65
219	1701	3	24.52
113	1203	3	13.91
522	101	9	4.22
2592	8888	3	60.15
1991	103	3	4.91
1014	875	5	55.89
1713	101	10	30.54
1607	101	6	10.87
6445	2750	3	53.88
450	1590	3	28.81
331	470	6	45.48
1063	257	5	42.53
520	624	3	23.14
750	248	3	19.59
3206	628	3	36.84
222	598	13	114.43
152	104	18	22.46
467	1155	7	75.65
9063	102	3	20.49
1023	104	7	24.1
623	975	4	38.91
111	1926	6	41.9
1116	313	3	24.17
349	200	5	27.55
2332	58	5	29.58
101	163	35	18.29
105	2711	3	13.92
1481	107	4	16.93
570	126	12	78.26
104	764	3	3.96
189	891	3	18.9
195	514	6	39.86
2304	753	3	35.2
355	101	14	7.26
7072	873	3	47.61
1447	10401	3	55.66
561	362	8	70.1
2709	2576	8	144.89
103	690	8	10.13
867	128	3	14.5
2753	101	4	8.91
2228	57	3	13.88
1133	701	5	54.58
7375	1207	4	72.8
2965	103	5	19.19
601	800	3	25.95
257	193	4	17.1
1298	77	7	56.23
1643	116	3	16.78
106	133	9	3.9
1345	102	4	5.07
1012	308	4	33.3
408	402	6	46.1
1149	499	12	147.12
120	788	3	12.43
242	6224	3	36.79
1777	237	3	25.57
694	1644	3	31.81
356	225	3	14.18
104	1883	3	9.4
104	2019	3	9.97
225	395	4	21.95
10405	156	3	40.25
10313	981	3	52.98
3320	121	3	23.18
109	1189	3	11.95
117	6361	5	58.99
103	2637	3	7.16
439	340	3	18.2
5195	5447	6	142
302	769	4	30.63
311	1600	4	38
449	189	4	21.43
153	671	4	22.64
528	5858	3	41.93
1805	101	4	5.25
2143	982	6	82.69
1110	330	3	24.32
2145	488	4	44.78
180	446	4	20.69
114	460	3	8.22
529	1649	12	159.97
104	815	4	7.62
640	209	7	52.93
561	129	4	18.12
174	410	14	105.85
104	1068	3	5.93
2025	102	5	12.65
5008	106	3	20.5
112	775	7	35.88
228	504	5	32.56
2455	212	4	38.92
104	868	5	11.99
1131	104	6	20.25
193	128	3	5.47
1537	101	5	6.78
147	2173	3	23.22
119	615	6	29.1
101	401	12	5.66
119	666	9	52.85
104	4302	3	16
103	5571	3	12.9
188	1855	4	34.82
4286	493	4	53.32
8067	229	3	38.61
104	2132	3	10.28
101	1337	5	5.69
5203	101	4	17.28
3278	124	3	23.8
1139	128	3	16.62
101	1217	6	7.45
1022	70	21	195.63
1232	211	3	22.24
243	4552	3	33.99
398	961	5	46.13
167	102	41	48.82
313	684	7	60.18
145	151	6	18.34
351	7003	4	61.47
1118	123	3	15.25
1698	102	4	6.74
197	123	5	12.09
142	1759	3	21.17
783	822	3	28.17
107	328	7	14.83
123	720	4	18.43
207	669	21	212.3
8596	114	3	35.08
3741	216	3	31.33
101	1782	5	8.51
109	1899	18	174.21
8553	984	3	52.98
1333	106	3	9.34
148	111	7	10.39
7312	146	3	35.23
8	859	3	17.87
182	317	7	39.45
4625	673	3	40.58
103	6530	3	14.43
293	4225	3	34.24
1960	164	3	23.48
385	103	9	5.06
117	2332	15	164.83
103	590	8	7.9
205	3941	7	89.67
460	121	19	128.21
788	103	5	4.23
222	2265	6	62.94
248	110	6	13.05
1020	101	17	48.94
936	122	3	13.86
354	103	10	5.92
498	134	5	24.58
155	3290	3	27.25
104	357	5	4.27
330	259	3	14.52
112	266	3	3.99
1039	107	5	19.43
3547	137	4	37.89
69	189	5	11.71
285	122	3	6.57
325	482	12	108.96
105	762	3	5.39
116	5876	3	28.53
1779	361	18	255.51
236	9576	3	43.35
121	3278	4	33.67
101	1088	20	70.1
707	325	3	21.08
124	3877	3	25.22
473	102	15	22.34
9072	1259	3	54.87
366	7688	4	61.76
160	255	8	40.82
108	339	3	4.31
580	747	4	35.79
3877	179	9	123.63
101	657	16	26.68
1178	975	4	45.21
371	102	14	13.6
5422	102	3	12.37
205	118	4	7.5
